"properties_address","properties_zip","property_latitude","property_longitude","properties_numberofunits"
"5600 OGONTZ AVE","19141-1734",40.039567,-75.151279,202
"4628 LEIPER ST","19124-3212",40.018039,-75.08698,113
"1418 CONLYN ST","19141-2519",40.042183,-75.14523,88
"1410 72ND AVE","19126-1644",40.06259,-75.140637,71
"6212 CHESTNUT ST","19139-2905",39.960762,-75.245803,70
"2101 N COLLEGE AVE","19121-4806",39.975231,-75.171194,64
"4712 LEIPER ST","19124-3223",40.018978,-75.086763,60
"6610-20 N 8TH ST","19126-3313",40.052854,-75.132435,60
"1508 W ALLEGHENY AVE","19132-1715",40.001384,-75.155224,56
"4616 LEIPER ST","19124-3212",40.017436,-75.087567,47
"7101 N 15TH ST","19126-1639",40.061606,-75.14101,46
"360 E TULPEHOCKEN ST","19144-1662",40.046629,-75.174343,34
"1801 W TIOGA ST","19140-4938",40.007369,-75.158612,33
"1414 71ST AVE","19126-0000",40.060927,-75.140674,28
"1411 72ND AVE","19126-1645",40.063238,-75.140466,25
"1775 W GODFREY AVE","19141-1448",40.048527,-75.148652,22
"5800 N 16TH ST","19141-1826",40.041818,-75.147216,22
"6100 N 10TH ST","19141-3811",40.045306,-75.136496,15
"1806 W CHAMPLOST AVE","19141-1351",40.044785,-75.150104,13
"251 E DUVAL ST","19144-1646",40.049582,-75.177222,12
"250 E JOHNSON ST","19144-1643",40.049859,-75.177701,12
"7310 RUSKIN RD","19151-2203",39.976753,-75.260847,12
"6700 OAKLEY ST","19111-4627",40.054491,-75.093683,10
"4618 LEIPER ST","19124-3212",40.017627,-75.087381,10
"1201 SPRUCE ST","19107-5603",39.946767,-75.161127,8
"4906 N PENN ST","19124-2614",40.020463,-75.083325,7
"320 S 10TH ST","19107-6019",39.944951,-75.158421,7
"4703 LEIPER ST","19124-3222",40.017909,-75.08598,6
"1116 W LEHIGH AVE","19133-1112",39.993139,-75.150014,6
"4904 N PENN ST","19124-2614",40.020407,-75.08337,6
"1236 W LEHIGH AVE","19133-1114",39.993346,-75.152052,5
"5742 N PARK AVE","19141-3110",40.040897,-75.14343,5
"1315 ARROTT ST","19124-3209",40.019096,-75.087866,5
"5744 N PARK AVE","19141-3110",40.040964,-75.143415,5
"5746 N PARK AVE","19141-3110",40.041032,-75.1434,5
"5748 N PARK AVE","19141-3110",40.0411,-75.143385,5
"5750 N PARK AVE","19141-3110",40.041166,-75.143369,5
"5022 GRISCOM ST","19124-2624",40.021487,-75.081004,4
"4728 GRISCOM ST","19124-5815",40.017795,-75.084385,3
"1768 N PEACH ST","19131-3322",39.984456,-75.22895,3
"510 W TABOR RD","19120-2718",40.034776,-75.131796,3
"6060 DELANCEY ST","19143-1112",39.956111,-75.243874,3
"1415 W CHEW AVE","19141-2309",40.040147,-75.145119,2
"1315 W LOUDON ST","19141-0000",40.026134,-75.145883,2
"3110 WEYMOUTH ST","19134-2413",39.995659,-75.117295,2
"1457 STIRLING ST","19149-2754",40.038068,-75.076154,2
"3950 DUNGAN ST","19124-5506",40.00728,-75.102346,2
"3116 WEYMOUTH ST","19134-2413",39.995775,-75.11727,2
"403 KERPER ST","19111-4612",40.054763,-75.092824,2
"407 KERPER ST","19111-4612",40.054691,-75.092693,2
"405 KERPER ST","19111-4612",40.054727,-75.092759,2
"4683 MULBERRY ST","19124-3331",40.014282,-75.079326,2
"409 KERPER ST","19111-4612",40.054656,-75.09263,2
"5918 N MARVINE ST","19141-3213",40.042938,-75.139432,2
"411 KERPER ST","19111-4612",40.054617,-75.092578,2
"5928 N MARVINE ST","19141-3213",40.043165,-75.139381,2
"4514 N PENN ST","19124-3626",40.01518,-75.087901,2
"6024 N WARNOCK ST","19141-3710",40.044429,-75.13747,2
"5916 N MARVINE ST","19141-3213",40.042883,-75.139444,2
"6032 N WARNOCK ST","19141-3710",40.044625,-75.137451,2
"5920 N MARVINE ST","19141-3213",40.042992,-75.139419,2
"6034 N WARNOCK ST","19141-3710",40.044669,-75.137441,2
"5922 N MARVINE ST","19141-3213",40.04304,-75.139409,2
"656 E CLEMENTINE ST","19134-2334",39.995761,-75.11809,2
"5924 N MARVINE ST","19141-3213",40.043081,-75.1394,2
"6746 MARTINS MILL RD","19111-4639",40.054556,-75.092536,2
"5926 N MARVINE ST","19141-3213",40.043121,-75.139391,2
"6748 MARTINS MILL RD","19111-4639",40.05485,-75.092643,2
"5930 N MARVINE ST","19141-3213",40.043214,-75.139369,2
"6916 GILLESPIE ST","19135-1821",40.029054,-75.044943,2
"6022 N WARNOCK ST","19141-3710",40.044376,-75.137481,2
"701 S 58TH ST","19143-2703",39.950312,-75.238907,2
"6026 N WARNOCK ST","19141-3710",40.044483,-75.137482,2
"6028 N WARNOCK ST","19141-3710",40.044534,-75.137471,2
"6030 N WARNOCK ST","19141-3710",40.044581,-75.13746,2
"6036 N WARNOCK ST","19141-3710",40.044713,-75.137431,2
"6038 N WARNOCK ST","19141-3710",40.044757,-75.137421,2
"6750 MARTINS MILL RD","19111-4639",40.054772,-75.09259,2
"6752 MARTINS MILL RD","19111-4639",40.054913,-75.092686,2
"1014 W ORLEANS ST","19133-1840",39.996849,-75.147425,1
"1028 W MONMOUTH ST","19133-1838",39.996567,-75.147889,1
"108 N ROBINSON ST","19139-2312",39.964224,-75.243837,1
"1033 W MONMOUTH ST","19133-1839",39.996775,-75.147895,1
"1114 W SOMERSET ST","19133-1219",39.994777,-75.149557,1
"1038 W ORLEANS ST","19133-1840",39.996927,-75.148015,1
"1162 DORRANCE ST","19146-0000",39.937108,-75.174708,1
"120 S 59TH ST","19139-3106",39.959552,-75.239473,1
"1203 E STAFFORD ST","19138-1930",40.051732,-75.159783,1
"1220 W RUSH ST","19133-1212",39.995547,-75.151087,1
"1210 S BUCKNELL ST","19146-4121",39.937942,-75.183145,1
"130 N CONESTOGA ST","19139-2527",39.962908,-75.229455,1
"123 N PEACH ST","19139-2627",39.962414,-75.226888,1
"130 N WANAMAKER ST","19139-2443",39.963862,-75.237189,1
"1261 S TAYLOR ST","19146-4018",39.936976,-75.184691,1
"1307 N 51ST ST","19131-4508",39.97346,-75.223749,1
"129 FARSON ST","19139-0000",39.96184,-75.221185,1
"1317 DIVINITY ST","19143-0000",39.940332,-75.215195,1
"130 N ROBINSON ST","19139-2312",39.964647,-75.243747,1
"1317 S HICKS ST","19146-4831",39.933869,-75.169921,1
"1309 W SELTZER ST","19132-2715",39.994994,-75.152435,1
"1323 N NEWKIRK ST","19121-4528",39.976698,-75.181777,1
"1316 S HICKS ST","19146-4832",39.933926,-75.170199,1
"1324 N HOBART ST","19131-4116",39.972339,-75.237393,1
"1344 E RITTENHOUSE ST","19138-1917",40.054261,-75.158354,1
"14 N PEACH ST","19139-2638",39.960742,-75.227499,1
"136 FARSON ST","19139-0000",39.962031,-75.221597,1
"1423 S NAPA ST","19146-3404",39.935958,-75.195938,1
"141 N 52ND ST","19139-2603",39.962686,-75.223967,1
"1426 S 52ND ST","19143-5042",39.939796,-75.218386,1
"142 N SALFORD ST","19139-2346",39.964433,-75.239731,1
"157 N 60TH ST","19139-2315",39.96479,-75.239915,1
"143 N ROBINSON ST","19139-2313",39.964834,-75.243327,1
"1615 W TORONTO ST","19132-2335",40.000173,-75.157046,1
"1439 S ALLISON ST","19143-5301",39.93851,-75.225427,1
"1616 DOUNTON ST","19140-2908",40.018268,-75.152933,1
"1456 N 56TH ST","19131-3801",39.974681,-75.233544,1
"1622 DOUNTON ST","19140-2908",40.018213,-75.153067,1
"150 FARSON ST","19139-0000",39.962315,-75.221537,1
"1638 W JUNIATA ST","19140-2911",40.018374,-75.15375,1
"1511 S 27TH ST","19146-4409",39.934126,-75.189294,1
"1703 N ROBINSON ST","19151-3928",39.977283,-75.242732,1
"152 N 53RD ST","19139-2612",39.963065,-75.22649,1
"1707 COLONIAL ST","19126-0000",40.052289,-75.147058,1
"1529 N ALLISON ST","19131-3909",39.975882,-75.232345,1
"1720 W JUNIATA ST","19140-2903",40.018126,-75.154371,1
"1606 S CHADWICK ST","19145-1526",39.930832,-75.172821,1
"1815 FILLMORE ST","19124-2819",40.016167,-75.077197,1
"1616 S 16TH ST","19145-1504",39.930493,-75.171916,1
"1819 BRUNNER ST","19140-1709",40.018505,-75.156064,1
"1618 S BAILEY ST","19145-1219",39.932677,-75.188926,1
"1854 E LIPPINCOTT ST","19134-3129",39.994872,-75.113737,1
"1657 N 53RD ST","19131-3601",39.979681,-75.227862,1
"1855 BRUNNER ST","19140-1709",40.018135,-75.156899,1
"1676 CHURCH ST","19124-4042",40.009941,-75.086668,1
"1914 BONITZ ST","19140-1704",40.017801,-75.157696,1
"17 N ITHAN ST","19139-2558",39.961549,-75.233272,1
"1936 HARRISON ST","19124-2838",40.015394,-75.074896,1
"1710 CHURCH ST","19124-4034",40.009746,-75.086215,1
"1946 CLARENCE ST","19134-2017",39.998246,-75.10404,1
"1731 N BAMBREY ST","19121-2812",39.981947,-75.176376,1
"201 N VOGDES ST","19139-2045",39.964051,-75.231207,1
"1808 W COURTLAND ST","19140-1024",40.023686,-75.154948,1
"2026 E ONTARIO ST","19134-2645",39.995969,-75.10634,1
"1817 HARRISON ST","19124-2823",40.016749,-75.076555,1
"203 N VOGDES ST","19139-2045",39.964095,-75.231206,1
"1818 POPLAR ST","19130-1522",39.970935,-75.166898,1
"2035 E DAUPHIN ST","19125-1517",39.983118,-75.130547,1
"1822 E PACIFIC ST","19134-1541",40.00103,-75.102494,1
"2046 BONNAFFON ST","19142-1606",39.92432,-75.239155,1
"1835 W JUNIATA ST","19140-2930",40.017072,-75.157763,1
"2050 TASKER ST","19145-1432",39.931736,-75.179401,1
"1916 W BRISTOL ST","19140-1708",40.018056,-75.157984,1
"2115 E STELLA ST","19134-4118",39.989466,-75.114342,1
"1925 E LIPPINCOTT ST","19134-3130",39.994061,-75.11296,1
"2122 E COMMISSIONER ST","19134-3712",39.990187,-75.112175,1
"2049 WILMOT ST","19124-3407",40.011726,-75.077973,1
"2123 LARUE ST","19124-2018",40.013395,-75.066781,1
"2114 E CAMBRIA ST","19134-3921",39.988231,-75.116676,1
"2126 WHARTON ST","19146-4537",39.935586,-75.179928,1
"2116 E ONTARIO ST","19134-2626",39.994381,-75.104874,1
"2210 MASTER ST","19121-0000",39.976066,-75.172261,1
"212 N 64TH ST","19139-1001",39.966424,-75.24831,1
"2216 YELLAND ST","19140-2823",40.011388,-75.165479,1
"2143 66TH AVE","19138-0000",40.055219,-75.156594,1
"2222 W BERKS ST","19121-2054",39.983318,-75.17097,1
"2203 N WOODSTOCK ST","19132-4825",39.987729,-75.166204,1
"2224 N BOUVIER ST","19132-4321",39.987627,-75.162072,1
"2246 RUFFNER ST","19140-2820",40.011494,-75.166104,1
"2251 N LAMBERT ST","19132-4817",39.988802,-75.166561,1
"2246 YELLAND ST","19140-2823",40.011061,-75.166187,1
"2302 N GRATZ ST","19132-4337",39.98898,-75.163381,1
"227 N AVONDALE ST","19139-1011",39.966703,-75.248473,1
"2308 N WOODSTOCK ST","19132-4826",39.989462,-75.166189,1
"2304 E HAGERT ST","19125-2108",39.980084,-75.125027,1
"2310 N COLORADO ST","19132-4331",39.988892,-75.161317,1
"2322 N COLORADO ST","19132-4331",39.989117,-75.161267,1
"2317 N 26TH ST","19132-4608",39.990844,-75.174967,1
"2423 N BOUVIER ST","19132-4306",39.990631,-75.161124,1
"2323 N BOUVIER ST","19132-4324",39.98914,-75.161441,1
"2446 W FIRTH ST","19132-4126",39.993529,-75.172607,1
"2329 N COLORADO ST","19132-4332",39.989194,-75.160965,1
"25 N RUBY ST","19139-2641",39.961069,-75.227646,1
"2343 W SERGEANT ST","19132-4133",39.993987,-75.170999,1
"252 E CAMBRIA ST","19134-3338",39.993368,-75.126694,1
"2346 N COLORADO ST","19132-4331",39.989571,-75.161166,1
"2526 W SILVER ST","19132-3212",39.99704,-75.172915,1
"2352 N COLORADO ST","19132-4331",39.989683,-75.161141,1
"2538 BONNAFFON ST","19142-2716",39.91921,-75.232693,1
"2418 W CLEARFIELD ST","19132-1323",40.002043,-75.170256,1
"2554 N SYDENHAM ST","19132-3925",39.992376,-75.15758,1
"242 N ALDEN ST","19139-1221",39.965532,-75.235155,1
"2562 N CHADWICK ST","19132-3935",39.992755,-75.159335,1
"2440 W OAKDALE ST","19132-3629",39.995423,-75.172049,1
"258 N SIMPSON ST","19139-1022",39.96751,-75.249198,1
"2511 W OAKDALE ST","19132-3610",39.995801,-75.172839,1
"261 N SIMPSON ST","19139-1023",39.967508,-75.248838,1
"2512 W SELTZER ST","19132-3210",39.997355,-75.172579,1
"2613 BRADDOCK ST","19125-1405",39.986365,-75.124607,1
"2526 COLLINS ST","19125-1705",39.983493,-75.125044,1
"2615 W HAGERT ST","19132-3535",39.992819,-75.175219,1
"2528 COLLINS ST","19125-1705",39.983519,-75.125018,1
"2648 N MYRTLEWOOD ST","19132-3041",39.996606,-75.179917,1
"2530 COLLINS ST","19125-1705",39.983545,-75.12499,1
"2723 N HICKS ST","19132-2211",39.994775,-75.156525,1
"2536 N 17TH ST","19132-3927",39.992362,-75.16005,1
"2727 N CROSKEY ST","19132-3225",39.99633,-75.167843,1
"2544 N 24TH ST","19132-4112",39.99415,-75.171394,1
"2727 N HOLLYWOOD ST","19132-1808",39.997764,-75.178914,1
"2603 W HAROLD ST","19132-3117",39.995629,-75.174295,1
"2731 N 20TH ST","19132-2602",39.995917,-75.163711,1
"2611 TULIP ST","19125-1815",39.982263,-75.121141,1
"2763 JUDSON ST","19132-3229",39.997297,-75.169756,1
"2621 W SOMERSET ST","19132-2521",39.998306,-75.174377,1
"2821 E ONTARIO ST","19134-6035",39.985037,-75.096053,1
"2623 W SOMERSET ST","19132-2521",39.998312,-75.174429,1
"2824 N VAN PELT ST","19132-2643",39.997686,-75.166476,1
"2653 N COLORADO ST","19132-3824",39.994161,-75.159902,1
"2838 N BAMBREY ST","19132-1915",39.998804,-75.173009,1
"2763 N CROSKEY ST","19132-3225",39.99704,-75.167687,1
"2852 N PARK AVE","19132-2704",39.99653,-75.152914,1
"2820 N TANEY ST","19132-2526",39.998656,-75.174667,1
"2854 N 8TH ST","19133-2006",39.995444,-75.144694,1
"2835 N 26TH ST","19132-2508",39.999055,-75.173153,1
"2903 N BONSALL ST","19132-2008",39.999114,-75.168872,1
"2838 N DARIEN ST","19133-2012",39.995172,-75.145179,1
"2910 N 24TH ST","19132-1901",39.999471,-75.170226,1
"2842 W ALBERT ST","19132-3113",39.996059,-75.178311,1
"2958 B ST","19134-2818",39.994636,-75.126347,1
"2850 N BAILEY ST","19132-2513",39.999284,-75.174049,1
"3029 N BAILEY ST","19132-1208",40.001726,-75.173173,1
"2852 N OPAL ST","19132-2621",39.99785,-75.163076,1
"3033 N 10TH ST","19133-1821",39.998342,-75.146299,1
"2904 N 8TH ST","19133-2001",39.995985,-75.144578,1
"3033 N 26TH ST","19132-1204",40.001766,-75.172562,1
"2906 ROBBINS ST","19149-3009",40.030024,-75.064319,1
"3033 N BAILEY ST","19132-1208",40.001802,-75.173156,1
"2934 N STILLMAN ST","19132-1909",40.000168,-75.172226,1
"3065 COLLINS ST","19134-3709",39.99019,-75.112566,1
"2940 N STILLMAN ST","19132-1909",40.000283,-75.172202,1
"3101 N 16TH ST","19132-2337",40.000477,-75.156185,1
"2949 N BAMBREY ST","19132-1906",40.000455,-75.172341,1
"3104 N 27TH ST","19132-1216",40.002923,-75.174352,1
"3023 C ST","19134-2901",39.995192,-75.123574,1
"3110 N TAYLOR ST","19132-1330",40.002537,-75.170391,1
"3028 N STILLMAN ST","19132-1305",40.001559,-75.171923,1
"3123 C ST","19134-2311",39.996811,-75.123233,1
"3039 N 8TH ST","19133-2021",39.998159,-75.14372,1
"3128 N DARIEN ST","19133-2035",39.999504,-75.144255,1
"3040 N 10TH ST","19133-1820",39.998531,-75.146651,1
"3141 N MARSTON ST","19132-1237",40.00366,-75.174354,1
"3066 COLLINS ST","19134-3710",39.990626,-75.112309,1
"3206 HARTVILLE ST","19134-1715",39.99785,-75.119831,1
"3106 N 27TH ST","19132-1216",40.002963,-75.174343,1
"3229 HOPE ST","19140-5811",39.999319,-75.129511,1
"3126 N MARSTON ST","19132-1236",40.003419,-75.174709,1
"3235 N STILLMAN ST","19129-1824",40.004867,-75.170883,1
"3134 CUSTER ST","19134-2409",39.996024,-75.116747,1
"3323 H ST","19134-1901",39.998564,-75.112623,1
"3134 HARTVILLE ST","19134-2305",39.996538,-75.120114,1
"3327 ELLA ST","19134-1609",40.000475,-75.126024,1
"3140 REACH ST","19134-2411",39.996116,-75.116256,1
"335 HORTON ST","19139-0000",39.967807,-75.242704,1
"32 N SALFORD ST","19139-2353",39.962698,-75.240041,1
"340 N GROSS ST","19139-1018",39.968639,-75.246807,1
"3240 N 13TH ST","19140-5202",40.00236,-75.150766,1
"3414 HOPE ST","19140-4617",40.002069,-75.129213,1
"3254 LIVINGSTON ST","19134-5208",39.987013,-75.102168,1
"3635 WEIGHTMAN ST","19129-1620",40.014002,-75.199036,1
"3425 ELLA ST","19134-1659",40.001894,-75.125704,1
"3833 N PERCY ST","19140-3116",40.010599,-75.14267,1
"3446 HARTVILLE ST","19134-1113",40.001407,-75.119101,1
"3856 OLIVE ST","19104-1646",39.965955,-75.199429,1
"3450 F ST","19134-1225",40.001228,-75.116706,1
"3904 N 9TH ST","19140-3104",40.01145,-75.142287,1
"362 E WISTER ST","19144-1856",40.034075,-75.160415,1
"3941 N 8TH ST","19140-3207",40.011995,-75.140681,1
"3748 N 9TH ST","19140-3121",40.009401,-75.142736,1
"3955 N DELHI ST","19140-3112",40.012627,-75.142704,1
"38 N LINDENWOOD ST","19139-2642",39.961068,-75.226184,1
"3959 N FRANKLIN ST","19140-3212",40.012282,-75.139989,1
"3813 N 8TH ST","19140-3222",40.009974,-75.141138,1
"4013 N FRANKLIN ST","19140-2238",40.012892,-75.13988,1
"3814 ASPEN ST","19104-1638",39.966568,-75.198524,1
"4028 N 8TH ST","19140-2234",40.013359,-75.140793,1
"3814 N DELHI ST","19140-3111",40.010309,-75.143521,1
"4030 N FAIRHILL ST","19140-2608",40.012862,-75.137204,1
"3835 N PERCY ST","19140-3116",40.010643,-75.142661,1
"4034 N REESE ST","19140-2508",40.012871,-75.136564,1
"3838 N FRANKLIN ST","19140-3229",40.010468,-75.140777,1
"4042 N DARIEN ST","19140-2237",40.01379,-75.141166,1
"3844 N 7TH ST","19140-3204",40.010506,-75.140141,1
"411 E ROCKLAND ST","19120-4318",40.023979,-75.117153,1
"3850 ASPEN ST","19104-1638",39.966471,-75.199431,1
"4123 N MARSHALL ST","19140-2520",40.014335,-75.137977,1
"3860 N 13TH ST","19140-3705",40.011925,-75.148669,1
"4242 N 15TH ST","19140-1941",40.018348,-75.151138,1
"3919 N 9TH ST","19140-3103",40.011701,-75.141801,1
"4246 ORMOND ST","19124-4926",40.011181,-75.09675,1
"4000 N 7TH ST","19140-2504",40.012598,-75.139696,1
"425 W COURTLAND ST","19140-1523",40.021133,-75.132769,1
"4025 N DARIEN ST","19140-2236",40.01339,-75.140961,1
"4256 N 7TH ST","19140-2514",40.01685,-75.138733,1
"4030 N 6TH ST","19140-2502",40.012987,-75.137933,1
"441 W AIRDRIE ST","19140-3341",40.00809,-75.136109,1
"4047 HOWLAND ST","19124-5312",40.008822,-75.103136,1
"4416 N FRANKLIN ST","19140-2232",40.019139,-75.138866,1
"4051 N MARSHALL ST","19140-2505",40.013454,-75.138163,1
"4423 TOLBUT ST","19136-1415",40.050431,-75.008378,1
"408 W WELLENS ST","19120-3329",40.03101,-75.130131,1
"4432 TOLBUT ST","19136-1416",40.050095,-75.008696,1
"409 N DAGGETT ST","19151-4016",39.969703,-75.250165,1
"4501 HURLEY ST","19120-4528",40.01751,-75.117102,1
"4103 GILHAM ST","19135-2512",40.029388,-75.054302,1
"4501 N 8TH ST","19140-1307",40.020569,-75.138804,1
"411 W COURTLAND ST","19140-1523",40.021083,-75.132368,1
"4506 N 15TH ST","19140-1102",40.021966,-75.150369,1
"4115 N FRANKLIN ST","19140-2207",40.014402,-75.139532,1
"4524 MAGEE AVE","19135-2700",40.024573,-75.049859,1
"4119 N 8TH ST","19140-2201",40.014556,-75.140124,1
"4552 N MOLE ST","19140-1125",40.023041,-75.151121,1
"4122 N 7TH ST","19140-2512",40.014524,-75.139249,1
"4556 UNRUH AVE","19135-0000",40.025557,-75.047965,1
"4132 N FAIRHILL ST","19140-2635",40.014357,-75.136881,1
"4848 N WARNOCK ST","19141-3941",40.026505,-75.141468,1
"4133 N 8TH ST","19140-2201",40.014843,-75.140062,1
"4850 N WARNOCK ST","19141-3941",40.026548,-75.141463,1
"4139 N 7TH ST","19140-2511",40.014792,-75.138693,1
"488 E PENN ST","19144-5804",40.037829,-75.162134,1
"4140 N DARIEN ST","19140-2206",40.015137,-75.140874,1
"4922 N 7TH ST","19120-3708",40.026788,-75.136564,1
"4143 N FRANKLIN ST","19140-2207",40.01497,-75.139408,1
"4922 N UBER ST","19141-1023",40.029376,-75.156057,1
"4145 N FRANKLIN ST","19140-2207",40.015012,-75.139399,1
"4934 HOOPES ST","19139-1716",39.968015,-75.219737,1
"4147 N 7TH ST","19140-2511",40.014953,-75.138658,1
"4938 N 10TH ST","19141-3902",40.027678,-75.140375,1
"4210 N PENN ST","19124-4519",40.010108,-75.092604,1
"5106 RENO ST","19139-1536",39.96635,-75.222712,1
"4212 N PENN ST","19124-4519",40.010154,-75.092552,1
